t,x,y,yaw,estado,waypoint,dist,front_clear,path_len,v,w
0.000,-2.0000,2.0000,0.0000,FOLLOW,verde,4.2048,1.018,81,0.2000,-0.8501
0.100,-1.9988,2.0000,0.0000,FOLLOW,verde,4.2036,1.018,81,0.2000,-0.8530
0.200,-1.9885,2.0000,-0.0005,FOLLOW,verde,4.1933,1.015,80,0.2000,-0.8786
0.300,-1.9714,1.9997,-0.0462,FOLLOW,verde,4.1762,1.015,80,0.2000,-0.8557
0.400,-1.9509,1.9978,-0.1355,FOLLOW,verde,4.1559,1.191,80,0.2000,-0.6361
0.500,-1.9307,1.9943,-0.2089,FOLLOW,verde,4.1358,1.191,79,0.2000,-0.5638
0.600,-1.9108,1.9894,-0.2692,FOLLOW,verde,4.1162,0.802,79,0.2000,-0.3792
0.700,-1.8977,1.9855,-0.3053,FOLLOW,verde,4.1033,0.802,79,0.2000,-0.3401
0.800,-1.8783,1.9790,-0.3396,FOLLOW,verde,4.0843,0.678,79,0.2000,-0.1955
0.900,-1.8591,1.9719,-0.3748,FOLLOW,verde,4.0655,0.678,79,0.2000,-0.1536
1.000,-1.8402,1.9642,-0.3913,FOLLOW,verde,4.0470,0.626,79,0.2000,-0.0370
1.100,-1.8213,1.9563,-0.3997,FOLLOW,verde,4.0287,0.626,78,0.2000,-0.0260
1.200,-1.8025,1.9483,-0.4043,FOLLOW,verde,4.0104,0.580,78,0.2000,-0.0207
1.300,-1.7838,1.9403,-0.4063,FOLLOW,verde,3.9922,0.545,78,0.2000,0.0735
1.400,-1.7651,1.9322,-0.4016,FOLLOW,verde,3.9741,0.545,77,0.2000,0.0712
1.500,-1.7463,1.9243,-0.3947,FOLLOW,verde,3.9559,0.545,77,0.2000,0.1422
1.600,-1.7274,1.9166,-0.3824,FOLLOW,verde,3.9376,0.542,77,0.2000,0.1324
1.700,-1.7085,1.9091,-0.3688,FOLLOW,verde,3.9193,0.542,76,0.2000,0.1825
1.800,-1.6894,1.9019,-0.3517,FOLLOW,verde,3.9008,0.519,76,0.2000,0.1675
1.900,-1.6702,1.8951,-0.3343,FOLLOW,verde,3.8822,0.519,76,0.2000,0.1518
2.000,-1.6509,1.8886,-0.3181,FOLLOW,verde,3.8635,0.537,75,0.2000,0.1883
2.100,-1.6315,1.8823,-0.3000,FOLLOW,verde,3.8447,0.537,75,0.2000,0.1726
2.200,-1.6120,1.8765,-0.2821,FOLLOW,verde,3.8257,0.515,75,0.2000,0.1957
2.300,-1.5990,1.8728,-0.2698,FOLLOW,verde,3.8130,0.515,73,0.2000,0.1849
2.400,-1.5793,1.8676,-0.2498,FOLLOW,verde,3.7939,0.547,73,0.2000,0.1662
2.500,-1.5595,1.8627,-0.2323,FOLLOW,verde,3.7746,0.547,73,0.2000,0.1800
2.600,-1.5397,1.8582,-0.2143,FOLLOW,verde,3.7552,2.275,71,0.2000,0.1639
2.700,-1.5197,1.8540,-0.1964,FOLLOW,verde,3.7358,2.275,71,0.2000,0.1686
2.800,-1.4997,1.8502,-0.1795,FOLLOW,verde,3.7162,2.250,71,0.2000,0.1531
2.900,-1.4796,1.8467,-0.1635,FOLLOW,verde,3.6966,2.250,70,0.2000,0.1384
3.000,-1.4595,1.8436,-0.1480,FOLLOW,verde,3.6768,2.192,70,0.2000,0.1388
3.100,-1.4393,1.8407,-0.1340,FOLLOW,verde,3.6570,2.192,70,0.2000,0.1262
3.200,-1.4191,1.8381,-0.1208,FOLLOW,verde,3.6372,2.162,69,0.2000,0.1241
3.300,-1.3989,1.8358,-0.1079,FOLLOW,verde,3.6173,2.162,69,0.2000,0.1120
3.400,-1.3786,1.8337,-0.0961,FOLLOW,verde,3.5973,2.104,69,0.2000,0.1012
3.500,-1.3583,1.8319,-0.0854,FOLLOW,verde,3.5773,2.104,68,0.2000,-0.1253
3.600,-1.3380,1.8301,-0.1065,FOLLOW,verde,3.5573,1.973,68,0.2000,-0.1014
3.700,-1.3177,1.8279,-0.1115,FOLLOW,verde,3.5373,1.973,68,0.2000,-0.0623
3.800,-1.2974,1.8255,-0.1187,FOLLOW,verde,3.5174,2.026,66,0.2000,-0.0548
3.900,-1.2771,1.8230,-0.1256,FOLLOW,verde,3.4975,2.026,66,0.2000,-0.0477
4.000,-1.2569,1.8204,-0.1311,FOLLOW,verde,3.4777,2.000,66,0.2000,-0.2230
4.100,-1.2434,1.8185,-0.1393,FOLLOW,verde,3.4645,2.000,65,0.2000,-0.2197
4.200,-1.2232,1.8154,-0.1643,FOLLOW,verde,3.4447,1.959,65,0.2000,-0.1950
4.300,-1.2031,1.8118,-0.1867,FOLLOW,verde,3.4251,1.959,65,0.2000,-0.3125
4.400,-1.1830,1.8078,-0.2152,FOLLOW,verde,3.4057,1.916,64,0.2000,-0.2877
4.500,-1.1631,1.8031,-0.2457,FOLLOW,verde,3.3864,1.916,64,0.2000,-0.2591
4.600,-1.1433,1.7979,-0.2728,FOLLOW,verde,3.3674,1.876,64,0.2000,-0.3370
4.700,-1.1237,1.7921,-0.3048,FOLLOW,verde,3.3487,1.876,62,0.2000,-0.3077
4.800,-1.1043,1.7856,-0.3382,FOLLOW,verde,3.3302,1.834,62,0.2000,-0.2754
4.900,-1.0851,1.7785,-0.3672,FOLLOW,verde,3.3120,1.834,62,0.2000,-0.2492
5.000,-1.0661,1.7710,-0.3936,FOLLOW,verde,3.2942,1.807,61,0.2000,-0.2983
5.100,-1.0473,1.7629,-0.4225,FOLLOW,verde,3.2766,1.807,61,0.2000,-0.2720
5.200,-1.0288,1.7542,-0.4508,FOLLOW,verde,3.2594,1.751,61,0.2000,-0.2460
5.300,-1.0105,1.7451,-0.4769,FOLLOW,verde,3.2426,1.751,60,0.2000,-0.2696
5.400,-0.9925,1.7354,-0.5038,FOLLOW,verde,3.2261,1.721,60,0.2000,-0.2443
5.500,-0.9747,1.7253,-0.5294,FOLLOW,verde,3.2100,1.721,60,0.2000,-0.2202
5.600,-0.9572,1.7148,-0.5527,FOLLOW,verde,3.1942,1.739,59,0.2000,-0.2276
5.700,-0.9399,1.7039,-0.5758,FOLLOW,verde,3.1788,1.739,59,0.2000,-0.2052
5.800,-0.9285,1.6964,-0.5907,FOLLOW,verde,3.1688,1.936,59,0.2000,-0.1907
5.900,-0.9116,1.6848,-0.6104,FOLLOW,verde,3.1540,1.936,58,0.2000,-0.3325
6.000,-0.8950,1.6729,-0.6350,FOLLOW,verde,3.1396,1.896,58,0.2000,-0.3151
6.100,-0.8788,1.6605,-0.6698,FOLLOW,verde,3.1257,1.896,58,0.2000,-0.2813
6.200,-0.8630,1.6475,-0.7015,FOLLOW,verde,3.1124,1.851,58,0.2000,-0.2271
6.300,-0.8475,1.6341,-0.7298,FOLLOW,verde,3.0996,1.851,58,0.2000,-0.1970
6.400,-0.8324,1.6203,-0.7500,FOLLOW,verde,3.0873,1.818,58,0.2000,-0.1782
6.500,-0.8176,1.6062,-0.7686,FOLLOW,verde,3.0755,1.818,57,0.2000,0.0108
6.600,-0.8030,1.5919,-0.7886,FOLLOW,verde,3.0640,1.767,57,0.2000,0.0424
6.700,-0.7887,1.5774,-0.7849,FOLLOW,verde,3.0529,1.767,57,0.2000,0.0321
6.800,-0.7743,1.5630,-0.7831,FOLLOW,verde,3.0417,1.750,56,0.2000,0.0314
6.900,-0.7598,1.5486,-0.7806,FOLLOW,verde,3.0306,1.750,56,0.2000,0.0295
7.000,-0.7453,1.5343,-0.7775,FOLLOW,verde,3.0196,1.701,56,0.2000,0.0267
7.100,-0.7307,1.5200,-0.7746,FOLLOW,verde,3.0086,1.701,55,0.2000,0.0160
7.200,-0.7161,1.5057,-0.7725,FOLLOW,verde,2.9977,1.669,55,0.2000,0.0138
7.300,-0.7015,1.4915,-0.7710,FOLLOW,verde,2.9868,1.669,55,0.2000,0.0123
7.400,-0.6869,1.4773,-0.7697,FOLLOW,verde,2.9760,1.625,54,0.2000,0.0045
7.500,-0.6771,1.4678,-0.7690,FOLLOW,verde,2.9688,1.625,54,0.2000,0.0036
7.600,-0.6625,1.4536,-0.7687,FOLLOW,verde,2.9582,1.588,54,0.2000,0.0034
7.700,-0.6478,1.4395,-0.7684,FOLLOW,verde,2.9476,1.588,53,0.2000,0.0031
7.800,-0.6331,1.4253,-0.7681,FOLLOW,verde,2.9372,1.545,53,0.2000,-0.0029
7.900,-0.6185,1.4111,-0.7681,FOLLOW,verde,2.9268,1.545,53,0.2000,-0.0029
8.000,-0.6038,1.3969,-0.7684,FOLLOW,verde,2.9165,1.497,52,0.2000,-0.1544
8.100,-0.5891,1.3827,-0.7713,FOLLOW,verde,2.9064,1.497,52,0.2000,-0.1594
8.200,-0.5746,1.3684,-0.7890,FOLLOW,verde,2.8966,1.474,52,0.2000,-0.1422
8.300,-0.5604,1.3537,-0.8046,FOLLOW,verde,2.8872,1.474,51,0.2000,0.0502
8.400,-0.5463,1.3389,-0.8157,FOLLOW,verde,2.8781,1.439,51,0.2000,0.0708
8.500,-0.5322,1.3242,-0.8070,FOLLOW,verde,2.8692,1.439,51,0.2000,0.0562
8.600,-0.5181,1.3095,-0.8000,FOLLOW,verde,2.8602,1.383,50,0.2000,0.0488
8.700,-0.5038,1.2949,-0.7947,FOLLOW,verde,2.8513,1.383,50,0.2000,0.0437
8.800,-0.4895,1.2804,-0.7901,FOLLOW,verde,2.8424,1.343,50,0.2000,0.0334
8.900,-0.4751,1.2659,-0.7864,FOLLOW,verde,2.8335,1.343,49,0.2000,0.0297
9.000,-0.4607,1.2515,-0.7833,FOLLOW,verde,2.8247,1.320,49,0.2000,0.0266
9.100,-0.4511,1.2419,-0.7813,FOLLOW,verde,2.8189,1.320,49,0.2000,0.0248
9.200,-0.4366,1.2276,-0.7787,FOLLOW,verde,2.8102,1.274,48,0.2000,0.0161
9.300,-0.4220,1.2133,-0.7763,FOLLOW,verde,2.8015,1.274,48,0.2000,0.0134
9.400,-0.4075,1.1990,-0.7750,FOLLOW,verde,2.7930,1.228,48,0.2000,0.0122
9.500,-0.3929,1.1847,-0.7737,FOLLOW,verde,2.7846,1.228,47,0.2000,0.0111
9.600,-0.3783,1.1705,-0.7725,FOLLOW,verde,2.7762,1.200,47,0.2000,0.0041
9.700,-0.3637,1.1563,-0.7718,FOLLOW,verde,2.7680,1.200,47,0.2000,0.0033
9.800,-0.3491,1.1420,-0.7714,FOLLOW,verde,2.7599,1.169,53,0.2000,0.0029
9.900,-0.3344,1.1278,-0.7711,FOLLOW,verde,2.7519,1.169,53,0.2000,-0.0021
10.000,-0.3198,1.1136,-0.7712,FOLLOW,verde,2.7440,1.108,53,0.2000,-0.0021
10.100,-0.3052,1.0994,-0.7714,FOLLOW,verde,2.7363,1.108,53,0.2000,-0.1521
10.200,-0.2906,1.0851,-0.7795,FOLLOW,verde,2.7287,1.084,53,0.2000,-0.1490
10.300,-0.2761,1.0706,-0.7947,FOLLOW,verde,2.7215,1.084,53,0.2000,-0.1349
10.400,-0.2620,1.0560,-0.8093,FOLLOW,verde,2.7148,1.304,52,0.2000,0.0551
10.500,-0.2479,1.0411,-0.8085,FOLLOW,verde,2.7084,1.304,52,0.2000,0.0578
10.600,-0.2338,1.0264,-0.8043,FOLLOW,verde,2.7020,1.262,52,0.2000,0.0501
10.700,-0.2196,1.0118,-0.7988,FOLLOW,verde,2.6956,1.262,50,0.2000,0.0444
10.800,-0.2053,0.9972,-0.7936,FOLLOW,verde,2.6893,1.216,50,0.2000,0.0393
10.900,-0.1958,0.9875,-0.7906,FOLLOW,verde,2.6851,1.216,50,0.2000,0.0363
11.000,-0.1814,0.9731,-0.7868,FOLLOW,verde,2.6789,1.173,49,0.2000,0.0269
11.100,-0.1670,0.9587,-0.7833,FOLLOW,verde,2.6728,1.173,49,0.2000,0.0231
11.200,-0.1525,0.9443,-0.7809,FOLLOW,verde,2.6667,1.146,49,0.2000,0.0210
11.300,-0.1380,0.9299,-0.7787,FOLLOW,verde,2.6607,1.146,48,0.2000,0.0134
11.400,-0.1235,0.9156,-0.7767,FOLLOW,verde,2.6549,1.115,48,0.2000,0.0111
11.500,-0.1089,0.9013,-0.7756,FOLLOW,verde,2.6491,1.115,48,0.2000,0.0100
11.600,-0.0944,0.8871,-0.7745,FOLLOW,verde,2.6435,1.063,48,0.2000,0.0091
11.700,-0.0798,0.8728,-0.7735,FOLLOW,verde,2.6380,1.063,48,0.2000,0.0030
11.800,-0.0652,0.8586,-0.7730,FOLLOW,verde,2.6326,1.017,48,0.2000,0.0024
11.900,-0.0506,0.8443,-0.7727,FOLLOW,verde,2.6274,1.017,48,0.2000,-0.1512
